thread_count,gsm,tensile_strength,shrinkage_percent,color_fastness,fabric_thickness,defect_count,elongation_percent,moisture_absorption,fabric_type,weave_type,finish_type,production_method,batch_id,roll_number,inspection_time_minutes,warehouse_id,operator_name,inspection_shift,machine_temperature,humidity_level,inspection_notes,fabric_quality
246.0,132.0,109.4738583402602,3.7780166761503042,3,0.8115496399320987,1,23.080407967793604,5.777028600850981,wool,twill,raw,handloom,182951,4894,39.33741644062103,WH-C,Ramesh,Morning,33.064362829016645,45.25827007602444,Recheck,High
92.0,382.0,31.950040226900978,6.162398236713803,5,1.0251741750970287,1,30.81648674713259,14.879108046604834,silk,,printed,powerloom,361341,4995,33.26348008480255,WH-B,John,Night,42.24773979254502,73.08822394554187,Approved,Low
,192.0,49.720825717504965,1.8307066696721768,4,1.4412753650177557,4,24.425901321699747,8.093767989722519,cotton,twill,dyed,powerloom,929538,4038,39.38048698715719,WH-A,Anita,Morning,43.12552886862446,42.85676220603278,Minor issue,High
111.0,245.0,76.6792631842551,2.956356115804809,1,0.9807934418022612,5,7.52185828013962,13.275429977415218,silk,satin,dyed,handloom,455331,3323,42.10104212193338,WH-B,John,Evening,35.0695990342481,31.3214074740456,OK,Medium
145.0,309.0,,4.801299759600671,2,0.3331158729825142,1,14.022555459789416,4.210059464699366,,twill,printed,powerloom,162940,413,39.23947809191562,WH-C,Priya,,26.276501113967026,68.3037969884322,Looks fine,High
,234.0,94.03393517029122,6.928901408423828,5,0.41485838088279525,7,36.959803464522054,14.257884593001794,cotton,twill,printed,powerloom,869169,370,42.76612232491526,WH-C,Priya,Evening,37.94103329005189,52.75483599219949,Minor issue,High
204.0,,33.35468506555412,7.475388953242323,4,0.5035743404500587,14,35.39996460152129,5.740154389424732,linen,satin,raw,powerloom,607701,4041,37.31715745604517,WH-C,Suresh,Evening,28.19368764730281,87.26381942030397,Looks fine,Low
324.0,221.0,74.207296205241,4.799148433458773,1,0.8356980619982616,0,10.763510490610347,8.779045620971416,linen,plain,raw,powerloom,642068,3574,28.671330221338582,WH-B,Suresh,Morning,40.323799957901734,80.53618387409149,Minor issue,High
177.0,237.0,81.0024673815155,3.5550337725733905,4,0.4932462212673717,3,35.41001878646179,11.36179244207495,polyester,plain,printed,handloom,630833,3156,23.123581289678793,WH-B,Priya,Night,27.375526190874872,77.4077758473721,Looks fine,High
188.0,115.0,24.029122551636092,1.101998348783258,5,1.0834159274947908,0,33.14827071613777,5.378106326894683,linen,satin,printed,powerloom,395940,4353,46.902379322880535,WH-A,John,Morning,33.48879371285418,80.00534187132826,Recheck,High
318.0,105.0,16.243173732240255,5.357680731225269,2,0.7985142434065585,9,13.662009991645295,5.411686419725542,linen,satin,printed,handloom,977799,1602,5.104746716933147,WH-A,John,Evening,35.40970535236259,49.76733002188996,Recheck,Low
162.0,380.0,45.82214403017094,2.712674440937116,3,0.9476175254291747,7,35.39509962564697,14.28296943777844,silk,twill,dyed,handloom,453016,3960,11.320091507006667,WH-C,John,Night,39.37128538647234,49.776751307619335,Minor issue,Medium
274.0,120.0,84.16967480305382,1.8401307639517372,4,1.2164317300438732,1,30.311148070509965,3.4307575204446352,wool,plain,dyed,powerloom,202809,2387,5.082004353091073,WH-B,Ramesh,Morning,28.57313638270934,47.03908825053097,Looks fine,High
111.0,147.0,28.169769902182352,6.647677933828882,3,0.8015017241172923,4,11.421141194026537,9.465314975874113,cotton,plain,raw,powerloom,681701,2526,16.51618707073743,WH-A,Priya,Night,26.937530618442707,43.33447791429492,OK,Low
136.0,130.0,63.095018234588345,2.7233562663924236,2,1.1306982109586439,5,31.54522128806557,10.537869911486812,wool,plain,printed,handloom,393466,1950,5.425873783887944,WH-B,Ramesh,Evening,29.483110042874593,81.25127634120156,Looks fine,Medium
309.0,367.0,,1.4068233267747023,3,0.29632988083708744,7,7.630992600826921,13.804849781633829,linen,satin,raw,powerloom,508672,1985,43.702334496515434,WH-B,Priya,Night,23.792354846912907,40.351122813980595,Approved,High
120.0,133.0,84.47087843688568,2.701331532307091,1,0.7939931000513722,2,18.38993001973045,12.02050295984864,cotton,satin,raw,handloom,223212,2687,12.949745555643164,WH-B,Priya,Night,41.31177168096392,89.9234763878619,Looks fine,High
166.0,157.0,16.668462157815508,2.669568392265363,4,0.7756453361281596,1,13.021819256604749,9.325293892491947,silk,satin,dyed,powerloom,718339,3878,18.246119481086758,WH-A,John,Night,44.333853797321495,51.47424923531065,OK,High
331.0,399.0,43.47721474813642,6.831231543948,3,0.3078683538480088,8,27.706113283438285,5.575772939236178,silk,satin,raw,handloom,520562,2767,50.36054268031621,WH-A,Anita,Night,27.51445347911912,75.01706301884626,Recheck,Medium
94.0,352.0,33.458698058845144,6.860422499804317,5,0.5692462850293238,12,25.28937749739003,4.818293097170859,wool,twill,raw,handloom,348717,4365,50.70753492280906,WH-C,Priya,Evening,42.337318990133625,43.391920724424686,OK,Low
308.0,180.0,88.64844629493338,5.9411406156265585,3,1.0469151920454411,10,17.884695242395743,4.070594190719069,cotton,twill,dyed,handloom,360938,2719,57.67704226405429,WH-A,Suresh,Evening,29.62343348579035,85.93715811113276,Minor issue,Medium
266.0,375.0,109.83978826284586,2.9880707455321494,5,1.4257796574402204,0,6.677466193116637,13.228851296033705,,plain,printed,powerloom,981420,3043,11.570326057129126,WH-A,Ramesh,Morning,42.8753832064192,46.73418134153353,Minor issue,High
124.0,199.0,112.21812572243859,5.521799764275306,2,0.6269580518172677,2,11.11822163790545,7.585571664301346,cotton,plain,printed,handloom,460107,4990,44.08925584901117,WH-C,Ramesh,Morning,25.0790482032184,67.15321103280381,Looks fine,High
250.0,137.0,85.7729677871384,6.1545436432587275,1,1.4557684410769811,6,7.534448882654926,3.5042322164368906,linen,satin,dyed,powerloom,945976,2351,5.457454425161581,WH-B,Priya,Morning,21.495072005011817,51.889614942903954,Looks fine,Medium
273.0,96.0,45.46819155862961,8.140142811515325,2,0.6757807726391465,1,6.963798956980484,11.670215168080023,polyester,plain,dyed,handloom,827529,3472,38.87119307337674,WH-C,Priya,Morning,35.8077656301664,36.171433516332144,Approved,Medium
315.0,256.0,113.51241902050317,9.142498749331398,2,1.290947200610998,3,23.25646824242414,6.832130408078753,silk,twill,dyed,handloom,546137,3106,12.090056214220729,WH-A,Priya,Evening,31.768633887035627,61.95830218299166,Approved,High
,111.0,86.19112399221818,4.678854513450728,3,0.8184459095922019,6,31.94144684143157,11.814480482477133,silk,satin,dyed,powerloom,882921,2961,17.576601786052084,WH-A,Suresh,,42.478924209763456,33.0176662759361,Approved,High
,,53.200196893847874,1.1534282442444437,2,1.3507105401097457,11,17.724523384866444,4.646494935425556,silk,twill,raw,handloom,478385,2599,58.31891854700845,WH-C,Priya,Evening,25.545167195366112,30.250432959393518,Looks fine,Low
230.0,345.0,51.664724110378174,6.844536920665935,5,0.8503254981222634,14,33.66988954012976,3.7957515861594984,wool,satin,printed,handloom,743747,4247,53.448506372403074,WH-B,Ramesh,Morning,34.691343809207254,39.978468558543945,OK,Low
260.0,200.0,62.048531941581615,8.617079471469397,5,0.5258847822624539,1,16.298146323264717,13.838416377167073,cotton,satin,dyed,powerloom,230417,3705,29.26888330802231,WH-B,Suresh,Night,37.77728645896339,88.52895810030422,Looks fine,High
113.0,348.0,112.65053305578806,2.9006178523540944,5,0.6003922751741846,2,11.887031337022936,8.785076128795337,polyester,plain,raw,handloom,429277,1051,24.326890624647433,WH-B,Priya,Evening,35.16616546331822,45.87467426496966,Minor issue,High
,396.0,56.18136616120704,2.2502064040698397,2,0.1577317510382793,14,24.910972672101508,4.63469977841609,silk,plain,raw,powerloom,613881,110,31.579278949169126,WH-A,Anita,Morning,23.990315810723704,68.30385809293668,OK,Low
158.0,274.0,119.34220618633258,7.983226107923981,1,0.19750361382740575,10,8.122496511332265,11.943796798204062,silk,plain,dyed,handloom,471311,2518,36.27599880076672,WH-C,Suresh,Night,25.517453921535797,45.54974416661729,OK,Low
113.0,394.0,93.04102455050958,1.6848968920521057,2,0.7508098768434547,9,24.56810168635189,5.446784540501446,cotton,satin,printed,handloom,538525,1908,18.374683027868237,WH-B,Ramesh,Morning,41.969959633478084,77.95579604989345,Looks fine,Medium
81.0,233.0,31.076322152213372,1.4746782089130528,5,1.0923895304884292,9,33.73778358937446,8.96410377960839,polyester,twill,printed,powerloom,811701,674,32.793341527008664,WH-B,Suresh,,23.271526436452568,30.918627295479673,OK,Medium
152.0,127.0,106.81383502857237,4.7256793728683695,5,1.1182890304408721,3,8.286600579007025,14.921575519472759,cotton,plain,raw,handloom,716541,2909,26.12455135439852,WH-A,Suresh,Night,44.98029295890797,75.88420687844192,OK,High
100.0,310.0,46.89875816463965,6.921469102302139,3,1.1216254671365202,12,18.986624186252207,14.747343025387266,silk,satin,raw,powerloom,826135,2606,10.747666957923968,WH-A,Ramesh,Night,25.515319181623173,83.0215853569612,Approved,Low
212.0,151.0,19.726413253926975,,1,1.3100072898123398,11,7.378721367316322,4.329666378156859,linen,twill,raw,handloom,718472,1317,33.49624118780057,WH-A,Priya,Evening,42.32695846039279,65.20878060166575,Recheck,Low
261.0,105.0,61.2395577847792,4.7027143780456395,5,0.9850065038308653,1,38.75584269201333,3.496420015955277,cotton,satin,raw,powerloom,410649,4683,43.9101628220015,WH-A,John,Morning,26.00950663442524,42.43079386575194,Recheck,High
218.0,96.0,94.96625726146407,7.550392233095086,2,1.3312303093439732,4,19.93145400094133,7.761564587287221,wool,plain,printed,powerloom,861065,2520,20.193200074733767,WH-A,Priya,Morning,33.678717656353726,43.23198237157111,Approved,Medium
178.0,188.0,65.39295104168508,1.274682086238899,3,1.2984163338418389,2,28.132294666466702,9.468066255306043,cotton,satin,raw,handloom,562139,1090,35.90774830325957,WH-A,Ramesh,Morning,33.32561696241485,49.282253932582975,Minor issue,High
197.0,338.0,38.6986790983335,8.353856128038622,1,0.7658202962913341,9,11.31140064902942,6.866499823481693,wool,twill,printed,powerloom,452695,1777,10.732040220240819,WH-B,Ramesh,Night,27.050943527347318,64.3973914276652,Approved,Low
126.0,104.0,74.48870585395929,3.3949761494797803,5,0.5055397351863021,14,34.468041665994875,12.912298950899029,linen,satin,printed,powerloom,704894,2359,27.54733102651486,WH-A,Suresh,Evening,30.953889166268603,56.45468825617072,Recheck,Low
234.0,286.0,52.87879467488341,7.977041668570208,3,0.6139500784750604,11,37.01453583847412,7.642719999716581,cotton,twill,dyed,powerloom,413172,3392,51.474657143856845,WH-A,Suresh,Morning,22.12259347726481,59.529789218340206,Looks fine,Low
,373.0,66.99456199959886,7.052244587435246,2,0.21372049178084795,1,9.213789571100996,13.594770415483833,wool,satin,dyed,powerloom,542487,3895,57.84354015185191,WH-B,Suresh,Evening,38.71024846427175,63.44337519971886,Looks fine,High
161.0,213.0,59.793414447817845,7.226837664694467,3,0.319018232833956,12,19.89730153817265,8.653383775565487,polyester,twill,dyed,powerloom,817998,3584,18.756766296253065,WH-B,Ramesh,Morning,23.476386049207637,63.45958549882096,Minor issue,Low
184.0,235.0,31.91097169681316,4.503374834819451,2,0.8008441890244282,7,24.87889972759922,12.55325707089546,silk,satin,raw,powerloom,135959,964,40.408016438863775,WH-B,Ramesh,Night,28.54592069491514,89.39866531317477,Approved,Low
342.0,201.0,81.50740897796882,,4,0.4565749880594365,13,9.303024999980375,9.962547761453623,wool,satin,printed,powerloom,189762,306,44.961021803018035,WH-C,Ramesh,Evening,25.038437972320697,86.06112407513552,OK,Low
275.0,297.0,100.25251361114778,1.7074326373958617,4,0.8815043507196896,1,36.79334797469241,3.8468277982405774,wool,plain,raw,powerloom,804695,4462,44.04379667607673,WH-B,Suresh,Evening,22.099374347787993,57.05888670543803,OK,High
164.0,222.0,114.64841372080146,8.908584167519972,4,0.94556372624938,11,7.24788113287593,5.715352030835332,cotton,satin,printed,handloom,145380,1124,18.834592967730266,WH-C,Ramesh,Morning,30.706241391252888,76.30283855051262,Recheck,Low
,193.0,109.65931532191539,4.00728458321292,4,0.18450338777389855,12,22.7261236382595,5.335895787566038,cotton,satin,raw,handloom,911760,3606,39.42218275739303,WH-C,John,Morning,38.65139519839609,79.43010205072932,Recheck,Medium
220.0,175.0,87.75698267687444,7.748845230113003,1,0.8735301835867767,13,37.80045112372166,10.616745617940632,linen,twill,printed,powerloom,648425,4646,28.796918206763134,WH-A,Priya,Morning,28.424547615650248,48.263460869202156,Looks fine,Low
,195.0,100.11473050503211,5.8314616726137105,2,1.1671259790917188,4,5.796801949325942,10.775541000076755,wool,satin,raw,handloom,962092,1504,15.155831399579048,WH-C,Anita,Evening,25.49778217831536,58.506383182295984,Looks fine,High
245.0,179.0,98.06463855896108,2.89182325371125,2,0.42200036339427793,1,38.04654064153693,9.992776131533397,polyester,satin,raw,handloom,437951,4366,48.07404930294896,WH-A,Anita,Morning,23.618285317412436,46.619606581664705,Recheck,High
303.0,148.0,84.41495392702105,5.553039886844286,3,0.9731056169079151,0,30.71106649583882,4.516616844800975,linen,satin,printed,handloom,463767,2179,56.0347363383907,WH-C,Anita,Morning,39.32205362996598,81.07250240252783,Minor issue,High
317.0,308.0,74.56948479895361,3.9089449369185933,2,0.726028612805111,6,35.27991285190368,5.079206281263373,linen,plain,dyed,handloom,521883,909,38.198043023430664,WH-C,John,Night,44.82536622146978,74.24126582857849,Looks fine,High
186.0,216.0,116.9031548038255,2.9113568142884794,4,0.7594952918463607,2,14.433377087517734,9.436241990836788,cotton,plain,printed,handloom,978364,1682,15.888897527205824,WH-B,Anita,,30.146955030885497,58.18316273712071,Looks fine,High
299.0,91.0,100.51535691809394,9.746194072141638,2,1.3353779619723245,10,30.23528948426371,4.171210813242727,linen,plain,raw,powerloom,366670,362,49.9342972963262,WH-A,Anita,Morning,24.941190669727817,63.32668680097926,Minor issue,Low
221.0,315.0,98.04714800248816,0.8697017752019394,3,0.6583119619051196,0,34.51526025100375,3.3202435063011184,cotton,twill,printed,powerloom,839589,4415,18.822412282798886,WH-A,Suresh,Evening,30.445786568264033,44.87612762412668,OK,High
155.0,194.0,61.62720062590734,,1,1.2675024255507295,14,25.552256576445444,9.232426029496224,wool,satin,raw,handloom,270640,1170,29.953048187896215,WH-B,Ramesh,,21.409915535303856,74.16718663001434,Looks fine,Low
253.0,117.0,75.11009287807136,1.8372412692692752,4,0.5527272552881627,4,14.329395972212351,13.601972311175437,wool,plain,dyed,powerloom,723789,4627,37.183465001518144,WH-B,Ramesh,Evening,20.85131809254072,30.122703450694015,Approved,High
159.0,141.0,87.20410460581157,5.747723027619841,3,1.0892974744976294,14,31.74021218327746,9.22881682861586,linen,plain,raw,handloom,798413,1590,10.31776385446311,WH-C,Suresh,Night,43.72531322908263,66.52452686765247,Looks fine,Low
,,92.23154209574452,,4,1.2847134903007853,14,17.802107015104667,5.3602136738998265,silk,twill,dyed,handloom,593021,2515,6.377955599361096,WH-A,Anita,Night,27.99181190047946,33.28978087513814,Recheck,Low
187.0,172.0,78.99196836599182,2.4934351570243924,1,0.4468429012201557,1,13.457917393895958,3.2603032491287993,cotton,satin,dyed,handloom,955767,2387,9.775758137127847,WH-A,Anita,Evening,43.16740726675168,77.6775270641661,Minor issue,High
113.0,323.0,59.85463465632316,7.316162762069655,3,1.1147870529275505,2,23.147237582384133,14.331543219484049,silk,twill,printed,powerloom,295882,553,12.454608984734978,WH-B,John,Morning,22.715676461539097,46.798979333063066,Looks fine,High
198.0,198.0,21.42667105099026,5.024025690609724,1,0.8464113880230235,14,35.84802509611102,13.549651858660404,cotton,,dyed,handloom,898840,848,34.37269781519888,WH-A,Anita,Night,38.96429776464876,39.323442979998006,Looks fine,Low
304.0,182.0,86.2401040588015,1.6110933082859353,3,0.17268626367538298,5,19.305910996180437,7.610814493312526,polyester,,printed,powerloom,338127,3491,41.40616673805553,WH-A,John,Evening,42.33475254073214,30.426258560533505,Minor issue,High
323.0,267.0,47.046343385460005,0.6134175300116937,2,1.3677151542242254,14,24.63832784649886,3.0787096400668728,silk,plain,printed,powerloom,930932,664,27.36121727738344,WH-C,Anita,Evening,43.58262692560328,56.96470562091284,Looks fine,Low
81.0,323.0,49.018848834530694,8.88906687061353,5,0.7936588871263308,1,18.03378060229351,7.2269350459964,linen,plain,raw,handloom,944011,1862,40.44415550219402,WH-C,Anita,Morning,23.03421125991017,43.22680343187078,Looks fine,High
82.0,93.0,84.40381299020528,2.160653169426669,3,0.4089782523039657,4,13.482698964657022,8.95591821148643,polyester,twill,raw,handloom,964748,3670,5.808942979042764,WH-B,Suresh,Morning,34.58484235099963,62.08387500321721,OK,High
119.0,277.0,91.77262543504445,9.534260804183084,5,1.4698171124355852,13,17.43655343808259,3.6713633342368883,silk,satin,raw,handloom,505314,4113,57.02687327903159,WH-A,John,Evening,33.86958727405093,66.43268281190203,Approved,Low
213.0,214.0,118.13890284400118,4.9152023669342455,1,0.3156493113138668,5,8.924208817545988,6.876376757732153,cotton,twill,raw,handloom,332753,2949,11.94750660177591,WH-C,Priya,Evening,40.04828148017252,86.79573661856163,Recheck,High
186.0,94.0,50.18657024697499,,2,1.2196740057150612,6,6.804651851014029,3.9611378228537064,silk,satin,printed,powerloom,228040,2949,59.98938145550655,WH-B,John,Night,44.164301372580695,50.30872443721901,Recheck,Low
314.0,341.0,51.97927433572695,6.305554431795229,4,0.6523195523360565,1,10.203762352711646,13.156081007561925,wool,plain,raw,powerloom,654552,3912,16.365095859185054,WH-B,John,Morning,22.614522594553694,71.24449676087679,Looks fine,High
291.0,346.0,111.18868821795029,,4,0.3740054217151231,2,25.96061637524019,10.575638735614763,cotton,satin,dyed,handloom,917577,797,59.0936876777857,WH-A,John,Night,34.80346376054647,71.5351402460665,Approved,High
194.0,,29.37735902521117,9.459053228852431,5,1.3476402298975774,5,11.08269281951926,12.047681537379503,linen,twill,printed,handloom,683815,3347,31.76118396438339,WH-A,Suresh,Morning,35.71580084093082,75.33362135756494,Minor issue,Low
347.0,335.0,100.0445609760746,5.776312500818191,3,1.3876432364121514,5,8.615137844400152,10.773137302076172,silk,plain,dyed,powerloom,333339,1503,5.276441794700714,WH-B,Suresh,Morning,20.305981217198585,78.42516654042254,Looks fine,High
244.0,238.0,83.2858948078876,3.719060481684953,2,0.2835098521141157,8,27.172948830119655,12.841193851297016,,satin,dyed,powerloom,132882,2354,13.850494041426145,WH-A,Anita,Night,27.08041339501267,66.39741478879573,Recheck,Medium
278.0,136.0,30.79182246903183,6.533659745773347,4,1.1109255312269268,8,18.681073722242235,14.672077410855305,wool,plain,raw,handloom,864961,2045,5.8749197065431975,WH-A,Suresh,Night,37.778723969693715,30.287870323790404,Recheck,Low
238.0,183.0,53.70770990854945,2.0176269340912434,4,0.38362211128739987,1,6.513928082282111,14.943681470949395,silk,satin,raw,handloom,596798,4528,29.286135355536768,WH-A,Ramesh,Evening,31.430515450585293,73.44030405459469,OK,High
284.0,254.0,78.97531441583973,6.090746767476119,2,0.6474394661706641,6,13.971895349698013,11.567194100169962,linen,twill,raw,powerloom,715186,2140,56.06506804013712,WH-B,John,Morning,35.92377084822909,69.85429383621062,Recheck,Medium
,223.0,53.2771120141553,1.2972546046559768,4,0.8123469445498772,8,11.115856448029414,3.479147108894055,wool,twill,printed,handloom,478517,3812,33.54175152415495,WH-C,Ramesh,Morning,42.147526179683595,33.37090232364238,Approved,Medium
284.0,93.0,94.70785555432111,5.693121308936711,5,1.178113349537756,10,10.397435601654557,12.294398128601006,silk,plain,dyed,handloom,569809,4862,42.798593458957455,WH-A,Ramesh,Night,30.06512500540274,81.74110377417799,OK,Medium
223.0,188.0,53.591755583029745,5.192999714025511,3,0.5169433459169532,0,30.07764396152233,14.488090256659598,silk,twill,dyed,powerloom,357828,3308,50.137338940352436,WH-A,Anita,Night,43.55031703564551,43.863881808750726,Minor issue,High
282.0,355.0,79.0186818434016,7.402386027694533,4,1.1492665982474346,5,34.36928854140328,9.775183163292937,cotton,plain,raw,powerloom,360621,3082,12.830663175102323,WH-C,Ramesh,Evening,44.99021435416218,80.8470717943807,OK,High
154.0,336.0,37.80218978999592,0.6587061010837498,5,0.804003734288527,14,15.702965403431577,5.4257995308166524,silk,twill,dyed,powerloom,164275,2776,22.211148472820057,WH-C,Suresh,Evening,29.244088929980293,75.24750534832486,Approved,Low
337.0,384.0,31.947438909880052,6.979494598096976,5,0.7233879064502279,8,32.393471998140726,10.979790543538849,linen,twill,dyed,handloom,170239,4209,48.204745056825395,WH-C,Priya,Night,40.36006967878549,70.88239179747221,Minor issue,Medium
223.0,170.0,38.33099339483283,1.432198777576098,1,1.4987010881097818,14,18.70999698991428,14.466789139732859,silk,plain,dyed,handloom,595918,4782,12.329247310315871,WH-A,John,Evening,23.06840523857015,36.88409527637394,Approved,Low
128.0,188.0,92.01062049467147,4.81636344839361,4,0.7583874663914739,3,5.858861651219664,7.18490577457403,silk,twill,dyed,powerloom,647962,704,36.047065206326494,WH-A,Ramesh,Morning,28.564419794190144,60.33482225952176,Looks fine,High
274.0,105.0,90.46956500527786,8.150768620336855,5,0.2861574718230018,1,32.19736312399503,6.233797963784298,silk,plain,dyed,handloom,639489,4082,38.47801124324139,WH-C,Ramesh,Night,27.14168784836307,60.44879442248471,Recheck,High
296.0,326.0,94.5657626717271,6.327217276099516,4,0.6381329916560647,12,34.300674570655374,12.823494848592867,wool,plain,dyed,handloom,924437,3071,19.30390703159037,WH-C,Suresh,Morning,41.67501210265122,36.50541926186383,Recheck,Medium
333.0,,15.204929900450905,8.3953682930637,1,0.9494350403643522,9,34.03208458479628,3.6227221525864266,linen,satin,dyed,powerloom,268738,2932,20.039965138944304,WH-A,Suresh,Evening,35.324371193803444,75.88402908192596,Approved,Low
158.0,318.0,100.38340857567707,6.244462174690907,3,1.3936534267885892,10,39.330110124382564,8.207005504689123,linen,plain,raw,handloom,269503,2332,5.786446872166507,WH-B,Anita,Night,30.13620347914304,76.179185569299,Minor issue,Medium
147.0,143.0,,5.9457221571502155,2,0.2591907579810654,4,34.50222216094102,9.90858822748699,silk,,printed,handloom,317659,2469,30.04275138288669,WH-B,Anita,Night,29.77536827930686,62.46797734150773,Approved,High
161.0,262.0,57.03398039868573,9.174806759846891,4,1.1656249985543474,1,25.453716778615796,7.90114172196167,silk,plain,printed,powerloom,201107,1739,24.94012578110005,WH-B,Anita,Night,44.517755801287095,62.611466972578626,Looks fine,High
345.0,119.0,79.28998578742606,2.475916165296911,5,1.1557004294818394,2,31.21161225607735,8.302774668178078,wool,twill,raw,handloom,787905,3274,37.91811054599499,WH-B,Ramesh,Night,42.11483956571544,54.94742814335512,Recheck,High
328.0,210.0,29.30597883624887,6.5756133390584,4,1.3113506764946723,2,18.6297836995156,9.824012032102154,polyester,twill,raw,handloom,470111,1898,10.887075012951279,WH-A,Priya,Morning,23.98027692255828,71.47154090792333,Approved,Medium
314.0,105.0,19.5186914768046,1.315936194346347,4,0.20069098429716054,8,37.150362135253346,7.651822866805498,linen,satin,dyed,handloom,108373,930,56.435517754079314,WH-C,Suresh,Evening,34.152004264810884,30.101723177848868,Recheck,Medium
340.0,233.0,32.49043891413669,2.8355526560033963,1,0.18414802110414258,14,22.5852055044111,14.207428650796295,polyester,twill,dyed,handloom,874168,3376,46.96987510507273,WH-B,Priya,Night,24.918079735840845,89.08142066573453,Minor issue,Low
294.0,148.0,102.11785385676681,2.3566294627620232,3,0.3073275797909154,7,7.092619238791776,7.73916941917993,silk,plain,printed,handloom,594442,862,5.93803147092288,WH-B,Ramesh,Evening,32.238386295945716,60.29045520690961,Approved,High
335.0,102.0,98.61049263882582,9.42714439360239,1,1.2237371524896266,1,38.47055924173217,9.964667799368822,wool,twill,dyed,handloom,906440,1802,44.53242855331318,WH-B,Suresh,Evening,31.917759771319417,32.17561589651162,Minor issue,High
159.0,184.0,67.30380278753088,2.6905019416594618,3,0.44866055829734364,0,25.775742747229568,4.681004546367342,silk,satin,raw,powerloom,152133,3945,47.76295141513253,WH-A,Priya,Morning,37.38869366565829,42.76872611926286,OK,High
99.0,181.0,112.88284421590939,1.4648172449908512,3,1.3171993446340629,13,8.307657777509505,3.3875716394530078,polyester,twill,raw,powerloom,384017,3063,31.686319421042384,WH-A,Ramesh,Morning,38.220917490311614,84.57983802709376,OK,Medium
186.0,124.0,100.68380632310728,2.844883861982782,5,1.0657481755809997,6,9.234607953435173,8.40879131709784,linen,plain,printed,powerloom,176239,1595,14.33922310625752,WH-C,Ramesh,Evening,22.404216966657327,67.77663480534122,Recheck,High
195.0,289.0,47.29528512179999,7.6827461295320525,1,0.4777549155556362,12,27.425704907795993,6.922466585524526,wool,plain,dyed,handloom,481201,715,57.15202792626907,WH-B,Suresh,Evening,29.013091256829462,55.122629859291436,OK,Low
218.0,243.0,103.95707174741577,3.1715169356820194,1,0.6498492165910003,2,18.787930529616407,8.744582784699709,polyester,satin,dyed,powerloom,798326,1060,5.051066595470824,WH-C,Ramesh,Morning,22.2660329206688,64.11832678043112,Looks fine,High
285.0,109.0,54.15274325753752,8.565117108252169,3,1.100752289240455,2,26.648665159766363,6.114477233721979,wool,satin,raw,handloom,995136,3884,23.413661206860915,WH-C,Priya,Morning,43.9532680491496,75.33866912828637,Approved,Medium
