record_id,material_key,material,condition,contamination,damage_level,weight_kg,matched_rule_id,matched_rule_name,recommendation,recovery_category,sustainability_score,reuse_score,recovery_score,circularity_level,assessment_status,requires_manual_review,estimated_co2_saved_kg,estimated_water_saved_liters,estimated_energy_saved_kwh,estimated_landfill_diverted_kg,dataset_type,dataset_purpose
TXT-00012,acrylic,Acrylic,good,none,moderate,12.36,RULE-006,Repairable textile,Repair and Reuse,Repair,70,65,85,Medium,Completed,False,80.34,21012.0,173.04,11.74,Synthetic,Educational sustainability analytics
TXT-00013,denim,Denim,good,none,severe,10.83,RULE-003,Severely damaged textile,Fiber Recovery,Recycling,64,90,75,Medium,Completed,False,32.49,6498.0,75.81,8.66,Synthetic,Educational sustainability analytics
TXT-00014,silk,Silk,fair,low,severe,4.12,RULE-010,Silk reuse and upcycling,Upcycling,Upcycling,50,90,80,Low,Completed,False,22.66,5356.0,49.44,3.71,Synthetic,Educational sustainability analytics
TXT-00015,silk,Silk,fair,low,moderate,8.84,RULE-006,Repairable textile,Repair and Reuse,Repair,60,90,85,Medium,Completed,False,57.46,15028.0,123.76,8.4,Synthetic,Educational sustainability analytics
TXT-00016,denim,Denim,good,hazardous,moderate,0.9,RULE-001,Hazardous contamination handling,Hazardous Textile Waste Treatment,Specialized Disposal,0,90,20,Low,Manual Review Required,True,0.0,0.0,0.0,0.09,Synthetic,Educational sustainability analytics
TXT-00017,polyester,Polyester,good,none,moderate,5.89,RULE-006,Repairable textile,Repair and Reuse,Repair,70,65,85,Medium,Completed,False,38.28,10013.0,82.46,5.6,Synthetic,Educational sustainability analytics
TXT-00018,mixed_fabric,Mixed Fabric,poor,low,severe,0.37,RULE-018,Mixed fabric material separation,Material Separation,Specialized Recycling,20,65,65,Low,Manual Review Required,True,0.74,148.0,1.85,0.24,Synthetic,Educational sustainability analytics
TXT-00019,polyester,Polyester,fair,low,minor,1.85,RULE-014,Polyester mechanical recycling,Mechanical Recycling,Recycling,56,65,75,Medium,Completed,False,7.4,1572.5,16.65,1.57,Synthetic,Educational sustainability analytics
TXT-00020,nylon,Nylon,good,none,moderate,14.58,RULE-006,Repairable textile,Repair and Reuse,Repair,70,65,85,Medium,Completed,False,94.77,24786.0,204.12,13.85,Synthetic,Educational sustainability analytics
TXT-00021,wool,Wool,fair,none,moderate,7.71,RULE-006,Repairable textile,Repair and Reuse,Repair,70,90,85,Medium,Completed,False,50.12,13107.0,107.94,7.32,Synthetic,Educational sustainability analytics
TXT-00022,silk,Silk,good,medium,moderate,8.05,RULE-020,Medium contamination cleaning,Cleaning and Reassessment,Preprocessing,26,90,50,Low,Manual Review Required,True,8.05,1207.5,16.1,3.22,Synthetic,Educational sustainability analytics
TXT-00023,cotton,Cotton,fair,low,none,14.78,RULE-021,General recyclable textile fallback,Fiber Recovery,Recycling,56,90,75,Medium,Manual Review Required,True,44.34,8868.0,103.46,11.82,Synthetic,Educational sustainability analytics
TXT-00024,linen,Linen,good,none,moderate,11.03,RULE-006,Repairable textile,Repair and Reuse,Repair,76,90,85,Medium,Completed,False,71.69,18751.0,154.42,10.48,Synthetic,Educational sustainability analytics
TXT-00025,polyester,Polyester,poor,low,none,14.21,RULE-021,General recyclable textile fallback,Fiber Recovery,Recycling,42,65,75,Low,Manual Review Required,True,42.63,8526.0,99.47,11.37,Synthetic,Educational sustainability analytics
TXT-00026,wool,Wool,good,high,minor,8.18,RULE-002,High contamination handling,Specialized Treatment,Industrial Recovery,12,90,50,Low,Manual Review Required,True,4.09,654.4,8.18,2.45,Synthetic,Educational sustainability analytics
TXT-00027,silk,Silk,fair,low,moderate,13.51,RULE-006,Repairable textile,Repair and Reuse,Repair,60,90,85,Medium,Completed,False,87.81,22967.0,189.14,12.83,Synthetic,Educational sustainability analytics
TXT-00028,rayon,Rayon,excellent,none,minor,3.61,RULE-004,Excellent condition direct reuse,Direct Reuse,Reuse,85,65,95,High,Completed,False,28.88,7942.0,64.98,3.61,Synthetic,Educational sustainability analytics
TXT-00029,silk,Silk,excellent,medium,none,0.66,RULE-021,General recyclable textile fallback,Fiber Recovery,Recycling,51,90,75,Low,Manual Review Required,True,1.98,396.0,4.62,0.53,Synthetic,Educational sustainability analytics
TXT-00030,denim,Denim,excellent,none,moderate,2.16,RULE-021,General recyclable textile fallback,Fiber Recovery,Recycling,66,90,75,Medium,Manual Review Required,True,6.48,1296.0,15.12,1.73,Synthetic,Educational sustainability analytics
TXT-00031,mixed_fabric,Mixed Fabric,fair,none,minor,1.6,RULE-018,Mixed fabric material separation,Material Separation,Specialized Recycling,51,65,65,Low,Manual Review Required,True,3.2,640.0,8.0,1.04,Synthetic,Educational sustainability analytics
TXT-00032,nylon,Nylon,good,low,severe,9.87,RULE-003,Severely damaged textile,Fiber Recovery,Recycling,48,65,75,Low,Completed,False,29.61,5922.0,69.09,7.9,Synthetic,Educational sustainability analytics
TXT-00033,polyester,Polyester,excellent,medium,severe,3.04,RULE-003,Severely damaged textile,Fiber Recovery,Recycling,37,65,75,Low,Completed,False,9.12,1824.0,21.28,2.43,Synthetic,Educational sustainability analytics
TXT-00034,acrylic,Acrylic,good,low,minor,13.86,RULE-005,Good condition donation,Donation,Reuse,70,65,95,Medium,Completed,False,97.02,26334.0,221.76,13.86,Synthetic,Educational sustainability analytics
TXT-00035,rayon,Rayon,poor,high,none,8.2,RULE-002,High contamination handling,Specialized Treatment,Industrial Recovery,0,65,50,Low,Manual Review Required,True,4.1,656.0,8.2,2.46,Synthetic,Educational sustainability analytics
TXT-00036,cotton,Cotton,poor,high,severe,7.39,RULE-002,High contamination handling,Specialized Treatment,Industrial Recovery,0,90,50,Low,Manual Review Required,True,3.69,591.2,7.39,2.22,Synthetic,Educational sustainability analytics
TXT-00037,silk,Silk,poor,high,none,5.98,RULE-002,High contamination handling,Specialized Treatment,Industrial Recovery,2,90,50,Low,Manual Review Required,True,2.99,478.4,5.98,1.79,Synthetic,Educational sustainability analytics
TXT-00038,rayon,Rayon,good,medium,moderate,10.0,RULE-020,Medium contamination cleaning,Cleaning and Reassessment,Preprocessing,19,65,50,Low,Manual Review Required,True,10.0,1500.0,20.0,4.0,Synthetic,Educational sustainability analytics
TXT-00039,rayon,Rayon,good,none,severe,8.22,RULE-003,Severely damaged textile,Fiber Recovery,Recycling,58,65,75,Medium,Completed,False,24.66,4932.0,57.54,6.58,Synthetic,Educational sustainability analytics
TXT-00040,denim,Denim,excellent,low,moderate,2.53,RULE-021,General recyclable textile fallback,Fiber Recovery,Recycling,56,90,75,Medium,Manual Review Required,True,7.59,1518.0,17.71,2.02,Synthetic,Educational sustainability analytics
TXT-00041,acrylic,Acrylic,excellent,none,moderate,3.68,,,Manual Review,Unknown,40,65,30,Low,Manual Review Required,True,0.0,0.0,0.0,0.0,Synthetic,Educational sustainability analytics
TXT-00042,polyester,Polyester,poor,low,moderate,1.41,RULE-013,Polyester chemical recycling,Chemical Recycling,Recycling,42,65,75,Low,Completed,False,4.93,987.0,10.57,1.13,Synthetic,Educational sustainability analytics
TXT-00043,mixed_fabric,Mixed Fabric,fair,none,minor,4.85,RULE-018,Mixed fabric material separation,Material Separation,Specialized Recycling,51,65,65,Low,Manual Review Required,True,9.7,1940.0,24.25,3.15,Synthetic,Educational sustainability analytics
TXT-00044,linen,Linen,good,medium,minor,11.33,RULE-020,Medium contamination cleaning,Cleaning and Reassessment,Preprocessing,32,90,50,Low,Manual Review Required,True,11.33,1699.5,22.66,4.53,Synthetic,Educational sustainability analytics
TXT-00045,polyester,Polyester,excellent,low,moderate,8.16,RULE-021,General recyclable textile fallback,Fiber Recovery,Recycling,50,65,75,Low,Manual Review Required,True,24.48,4896.0,57.12,6.53,Synthetic,Educational sustainability analytics
TXT-00046,acrylic,Acrylic,good,high,severe,5.67,RULE-002,High contamination handling,Specialized Treatment,Industrial Recovery,0,65,50,Low,Manual Review Required,True,2.83,453.6,5.67,1.7,Synthetic,Educational sustainability analytics
TXT-00047,wool,Wool,good,low,minor,43.25,RULE-005,Good condition donation,Donation,Reuse,77,90,95,Medium,Completed,False,302.75,82175.0,692.0,43.25,Synthetic,Educational sustainability analytics
TXT-00048,acrylic,Acrylic,excellent,medium,minor,14.1,,,Manual Review,Unknown,21,65,30,Low,Manual Review Required,True,0.0,0.0,0.0,0.0,Synthetic,Educational sustainability analytics
TXT-00049,wool,Wool,good,high,moderate,4.37,RULE-002,High contamination handling,Specialized Treatment,Industrial Recovery,6,90,50,Low,Manual Review Required,True,2.19,349.6,4.37,1.31,Synthetic,Educational sustainability analytics
TXT-00050,silk,Silk,fair,none,moderate,7.43,RULE-006,Repairable textile,Repair and Reuse,Repair,70,90,85,Medium,Completed,False,48.3,12631.0,104.02,7.06,Synthetic,Educational sustainability analytics
TXT-00051,cotton,Cotton,excellent,low,minor,11.61,RULE-004,Excellent condition direct reuse,Direct Reuse,Reuse,81,90,95,High,Completed,False,92.88,25542.0,208.98,11.61,Synthetic,Educational sustainability analytics
TXT-00052,linen,Linen,good,low,moderate,1.86,RULE-006,Repairable textile,Repair and Reuse,Repair,66,90,85,Medium,Completed,False,12.09,3162.0,26.04,1.77,Synthetic,Educational sustainability analytics
TXT-00053,wool,Wool,fair,medium,moderate,2.09,RULE-009,Wool fiber recovery,Fiber Recovery,Recycling,41,90,75,Low,Completed,False,6.27,1254.0,14.63,1.67,Synthetic,Educational sustainability analytics
TXT-00054,linen,Linen,good,high,severe,5.5,RULE-002,High contamination handling,Specialized Treatment,Industrial Recovery,0,90,50,Low,Manual Review Required,True,2.75,440.0,5.5,1.65,Synthetic,Educational sustainability analytics
TXT-00055,silk,Silk,fair,low,moderate,14.61,RULE-006,Repairable textile,Repair and Reuse,Repair,60,90,85,Medium,Completed,False,94.97,24837.0,204.54,13.88,Synthetic,Educational sustainability analytics
TXT-00056,wool,Wool,poor,none,none,2.82,RULE-009,Wool fiber recovery,Fiber Recovery,Recycling,68,90,75,Medium,Completed,False,8.46,1692.0,19.74,2.26,Synthetic,Educational sustainability analytics
TXT-00057,nylon,Nylon,excellent,medium,minor,43.08,RULE-021,General recyclable textile fallback,Fiber Recovery,Recycling,41,65,75,Low,Manual Review Required,True,129.24,25848.0,301.56,34.46,Synthetic,Educational sustainability analytics
TXT-00058,silk,Silk,good,medium,none,12.91,RULE-020,Medium contamination cleaning,Cleaning and Reassessment,Preprocessing,36,90,50,Low,Manual Review Required,True,12.91,1936.5,25.82,5.16,Synthetic,Educational sustainability analytics
TXT-00059,silk,Silk,good,high,minor,13.1,RULE-002,High contamination handling,Specialized Treatment,Industrial Recovery,12,90,50,Low,Manual Review Required,True,6.55,1048.0,13.1,3.93,Synthetic,Educational sustainability analytics
TXT-00060,silk,Silk,excellent,none,minor,14.51,RULE-004,Excellent condition direct reuse,Direct Reuse,Reuse,91,90,95,High,Completed,False,116.08,31922.0,261.18,14.51,Synthetic,Educational sustainability analytics
TXT-00061,linen,Linen,good,low,moderate,5.1,RULE-006,Repairable textile,Repair and Reuse,Repair,66,90,85,Medium,Completed,False,33.15,8670.0,71.4,4.84,Synthetic,Educational sustainability analytics
TXT-00062,cotton,Cotton,excellent,hazardous,none,24.29,RULE-001,Hazardous contamination handling,Hazardous Textile Waste Treatment,Specialized Disposal,0,90,20,Low,Manual Review Required,True,0.0,0.0,0.0,2.43,Synthetic,Educational sustainability analytics
TXT-00063,polyester,Polyester,fair,none,moderate,14.77,RULE-006,Repairable textile,Repair and Reuse,Repair,64,65,85,Medium,Completed,False,96.0,25109.0,206.78,14.03,Synthetic,Educational sustainability analytics
TXT-00064,polyester,Polyester,good,low,minor,0.23,RULE-005,Good condition donation,Donation,Reuse,70,65,95,Medium,Completed,False,1.61,437.0,3.68,0.23,Synthetic,Educational sustainability analytics
TXT-00065,acrylic,Acrylic,fair,high,moderate,6.58,RULE-002,High contamination handling,Specialized Treatment,Industrial Recovery,0,65,50,Low,Manual Review Required,True,3.29,526.4,6.58,1.97,Synthetic,Educational sustainability analytics
TXT-00066,denim,Denim,fair,medium,none,32.75,RULE-020,Medium contamination cleaning,Cleaning and Reassessment,Preprocessing,30,90,50,Low,Manual Review Required,True,32.75,4912.5,65.5,13.1,Synthetic,Educational sustainability analytics
TXT-00067,nylon,Nylon,good,medium,moderate,10.04,RULE-020,Medium contamination cleaning,Cleaning and Reassessment,Preprocessing,19,65,50,Low,Manual Review Required,True,10.04,1506.0,20.08,4.02,Synthetic,Educational sustainability analytics
TXT-00068,nylon,Nylon,fair,high,moderate,8.31,RULE-002,High contamination handling,Specialized Treatment,Industrial Recovery,0,65,50,Low,Manual Review Required,True,4.16,664.8,8.31,2.49,Synthetic,Educational sustainability analytics
TXT-00069,cotton,Cotton,good,none,moderate,4.97,RULE-006,Repairable textile,Repair and Reuse,Repair,76,90,85,Medium,Completed,False,32.3,8449.0,69.58,4.72,Synthetic,Educational sustainability analytics
TXT-00070,rayon,Rayon,good,none,minor,42.86,RULE-005,Good condition donation,Donation,Reuse,80,65,95,High,Completed,False,300.02,81434.0,685.76,42.86,Synthetic,Educational sustainability analytics
TXT-00071,wool,Wool,fair,none,moderate,1.58,RULE-006,Repairable textile,Repair and Reuse,Repair,70,90,85,Medium,Completed,False,10.27,2686.0,22.12,1.5,Synthetic,Educational sustainability analytics
TXT-00072,silk,Silk,fair,none,none,3.82,RULE-010,Silk reuse and upcycling,Upcycling,Upcycling,78,90,80,Medium,Completed,False,21.01,4966.0,45.84,3.44,Synthetic,Educational sustainability analytics
TXT-00073,rayon,Rayon,fair,medium,minor,8.72,RULE-016,Rayon specialized recycling,Specialized Recycling,Recycling,30,65,75,Low,Manual Review Required,True,21.8,4360.0,52.32,6.1,Synthetic,Educational sustainability analytics
TXT-00074,nylon,Nylon,good,none,moderate,11.31,RULE-006,Repairable textile,Repair and Reuse,Repair,70,65,85,Medium,Completed,False,73.52,19227.0,158.34,10.74,Synthetic,Educational sustainability analytics
TXT-00075,polyester,Polyester,fair,none,severe,7.08,RULE-013,Polyester chemical recycling,Chemical Recycling,Recycling,52,65,75,Low,Completed,False,24.78,4956.0,53.1,5.66,Synthetic,Educational sustainability analytics
TXT-00076,acrylic,Acrylic,good,medium,minor,10.08,RULE-020,Medium contamination cleaning,Cleaning and Reassessment,Preprocessing,25,65,50,Low,Manual Review Required,True,10.08,1512.0,20.16,4.03,Synthetic,Educational sustainability analytics
TXT-00077,acrylic,Acrylic,fair,hazardous,severe,10.85,RULE-001,Hazardous contamination handling,Hazardous Textile Waste Treatment,Specialized Disposal,0,65,20,Low,Manual Review Required,True,0.0,0.0,0.0,1.08,Synthetic,Educational sustainability analytics
TXT-00078,acrylic,Acrylic,good,high,minor,12.95,RULE-002,High contamination handling,Specialized Treatment,Industrial Recovery,5,65,50,Low,Manual Review Required,True,6.47,1036.0,12.95,3.88,Synthetic,Educational sustainability analytics
TXT-00079,rayon,Rayon,good,none,moderate,7.92,RULE-006,Repairable textile,Repair and Reuse,Repair,70,65,85,Medium,Completed,False,51.48,13464.0,110.88,7.52,Synthetic,Educational sustainability analytics
TXT-00080,silk,Silk,good,none,minor,4.93,RULE-005,Good condition donation,Donation,Reuse,87,90,95,High,Completed,False,34.51,9367.0,78.88,4.93,Synthetic,Educational sustainability analytics
TXT-00081,acrylic,Acrylic,excellent,none,minor,3.37,RULE-004,Excellent condition direct reuse,Direct Reuse,Reuse,85,65,95,High,Completed,False,26.96,7414.0,60.66,3.37,Synthetic,Educational sustainability analytics
TXT-00082,nylon,Nylon,good,low,minor,6.42,RULE-005,Good condition donation,Donation,Reuse,70,65,95,Medium,Completed,False,44.94,12198.0,102.72,6.42,Synthetic,Educational sustainability analytics
TXT-00083,mixed_fabric,Mixed Fabric,poor,none,severe,7.26,RULE-018,Mixed fabric material separation,Material Separation,Specialized Recycling,30,65,65,Low,Manual Review Required,True,14.52,2904.0,36.3,4.72,Synthetic,Educational sustainability analytics
TXT-00084,denim,Denim,good,low,severe,8.17,RULE-003,Severely damaged textile,Fiber Recovery,Recycling,54,90,75,Low,Completed,False,24.51,4902.0,57.19,6.54,Synthetic,Educational sustainability analytics
TXT-00085,acrylic,Acrylic,fair,high,minor,7.39,RULE-002,High contamination handling,Specialized Treatment,Industrial Recovery,0,65,50,Low,Manual Review Required,True,3.69,591.2,7.39,2.22,Synthetic,Educational sustainability analytics
TXT-00086,nylon,Nylon,good,medium,minor,7.12,RULE-020,Medium contamination cleaning,Cleaning and Reassessment,Preprocessing,25,65,50,Low,Manual Review Required,True,7.12,1068.0,14.24,2.85,Synthetic,Educational sustainability analytics
TXT-00087,wool,Wool,poor,low,severe,10.01,RULE-009,Wool fiber recovery,Fiber Recovery,Recycling,40,90,75,Low,Completed,False,30.03,6006.0,70.07,8.01,Synthetic,Educational sustainability analytics
TXT-00088,polyester,Polyester,fair,none,minor,5.81,RULE-014,Polyester mechanical recycling,Mechanical Recycling,Recycling,66,65,75,Medium,Completed,False,23.24,4938.5,52.29,4.94,Synthetic,Educational sustainability analytics
TXT-00089,silk,Silk,good,none,severe,14.28,RULE-010,Silk reuse and upcycling,Upcycling,Upcycling,66,90,80,Medium,Completed,False,78.54,18564.0,171.36,12.85,Synthetic,Educational sustainability analytics
TXT-00090,nylon,Nylon,good,none,none,15.0,RULE-005,Good condition donation,Donation,Reuse,84,65,95,High,Completed,False,105.0,28500.0,240.0,15.0,Synthetic,Educational sustainability analytics
TXT-00091,denim,Denim,good,none,severe,0.66,RULE-003,Severely damaged textile,Fiber Recovery,Recycling,64,90,75,Medium,Completed,False,1.98,396.0,4.62,0.53,Synthetic,Educational sustainability analytics
TXT-00092,silk,Silk,good,none,none,10.11,RULE-005,Good condition donation,Donation,Reuse,91,90,95,High,Completed,False,70.77,19209.0,161.76,10.11,Synthetic,Educational sustainability analytics
TXT-00093,mixed_fabric,Mixed Fabric,poor,low,minor,9.17,RULE-018,Mixed fabric material separation,Material Separation,Specialized Recycling,34,65,65,Low,Manual Review Required,True,18.34,3668.0,45.85,5.96,Synthetic,Educational sustainability analytics
TXT-00094,polyester,Polyester,fair,none,minor,13.95,RULE-014,Polyester mechanical recycling,Mechanical Recycling,Recycling,66,65,75,Medium,Completed,False,55.8,11857.5,125.55,11.86,Synthetic,Educational sustainability analytics
TXT-00095,mixed_fabric,Mixed Fabric,fair,hazardous,minor,1.32,RULE-001,Hazardous contamination handling,Hazardous Textile Waste Treatment,Specialized Disposal,0,65,20,Low,Manual Review Required,True,0.0,0.0,0.0,0.13,Synthetic,Educational sustainability analytics
TXT-00096,silk,Silk,excellent,medium,severe,1.99,RULE-003,Severely damaged textile,Fiber Recovery,Recycling,43,90,75,Low,Completed,False,5.97,1194.0,13.93,1.59,Synthetic,Educational sustainability analytics
TXT-00097,mixed_fabric,Mixed Fabric,fair,none,minor,7.69,RULE-018,Mixed fabric material separation,Material Separation,Specialized Recycling,51,65,65,Low,Manual Review Required,True,15.38,3076.0,38.45,5.0,Synthetic,Educational sustainability analytics
TXT-00098,denim,Denim,excellent,low,minor,5.56,RULE-004,Excellent condition direct reuse,Direct Reuse,Reuse,81,90,95,High,Completed,False,44.48,12232.0,100.08,5.56,Synthetic,Educational sustainability analytics
TXT-00099,rayon,Rayon,fair,low,moderate,24.45,RULE-006,Repairable textile,Repair and Reuse,Repair,54,65,85,Low,Completed,False,158.92,41565.0,342.3,23.23,Synthetic,Educational sustainability analytics
TXT-00100,acrylic,Acrylic,fair,low,severe,4.97,RULE-003,Severely damaged textile,Fiber Recovery,Recycling,42,65,75,Low,Completed,False,14.91,2982.0,34.79,3.98,Synthetic,Educational sustainability analytics
TXT-00101,silk,Silk,poor,none,severe,7.08,RULE-003,Severely damaged textile,Fiber Recovery,Recycling,50,90,75,Low,Completed,False,21.24,4248.0,49.56,5.66,Synthetic,Educational sustainability analytics
TXT-00102,mixed_fabric,Mixed Fabric,fair,none,minor,7.42,RULE-018,Mixed fabric material separation,Material Separation,Specialized Recycling,51,65,65,Low,Manual Review Required,True,14.84,2968.0,37.1,4.82,Synthetic,Educational sustainability analytics
TXT-00103,denim,Denim,fair,none,severe,4.29,RULE-003,Severely damaged textile,Fiber Recovery,Recycling,58,90,75,Medium,Completed,False,12.87,2574.0,30.03,3.43,Synthetic,Educational sustainability analytics
TXT-00104,cotton,Cotton,fair,none,minor,8.42,RULE-019,Low contamination general upcycling,Upcycling,Upcycling,74,90,80,Medium,Completed,False,46.31,10946.0,101.04,7.58,Synthetic,Educational sustainability analytics
TXT-00105,silk,Silk,fair,low,minor,1.58,RULE-010,Silk reuse and upcycling,Upcycling,Upcycling,64,90,80,Medium,Completed,False,8.69,2054.0,18.96,1.42,Synthetic,Educational sustainability analytics
TXT-00106,silk,Silk,good,none,moderate,8.39,RULE-006,Repairable textile,Repair and Reuse,Repair,76,90,85,Medium,Completed,False,54.54,14263.0,117.46,7.97,Synthetic,Educational sustainability analytics
TXT-00107,denim,Denim,good,medium,minor,4.21,RULE-020,Medium contamination cleaning,Cleaning and Reassessment,Preprocessing,32,90,50,Low,Manual Review Required,True,4.21,631.5,8.42,1.68,Synthetic,Educational sustainability analytics
TXT-00108,linen,Linen,good,medium,minor,14.27,RULE-020,Medium contamination cleaning,Cleaning and Reassessment,Preprocessing,32,90,50,Low,Manual Review Required,True,14.27,2140.5,28.54,5.71,Synthetic,Educational sustainability analytics
TXT-00109,wool,Wool,good,medium,minor,11.45,RULE-020,Medium contamination cleaning,Cleaning and Reassessment,Preprocessing,32,90,50,Low,Manual Review Required,True,11.45,1717.5,22.9,4.58,Synthetic,Educational sustainability analytics
TXT-00110,mixed_fabric,Mixed Fabric,good,none,none,2.86,RULE-018,Mixed fabric material separation,Material Separation,Specialized Recycling,61,65,65,Medium,Manual Review Required,True,5.72,1144.0,14.3,1.86,Synthetic,Educational sustainability analytics
TXT-00111,cotton,Cotton,fair,none,none,4.52,RULE-021,General recyclable textile fallback,Fiber Recovery,Recycling,66,90,75,Medium,Manual Review Required,True,13.56,2712.0,31.64,3.62,Synthetic,Educational sustainability analytics
TXT-00112,wool,Wool,fair,medium,none,4.41,RULE-009,Wool fiber recovery,Fiber Recovery,Recycling,51,90,75,Low,Completed,False,13.23,2646.0,30.87,3.53,Synthetic,Educational sustainability analytics
TXT-00113,rayon,Rayon,good,none,none,31.72,RULE-005,Good condition donation,Donation,Reuse,84,65,95,High,Completed,False,222.04,60268.0,507.52,31.72,Synthetic,Educational sustainability analytics
TXT-00114,polyester,Polyester,good,none,moderate,2.41,RULE-006,Repairable textile,Repair and Reuse,Repair,70,65,85,Medium,Completed,False,15.67,4097.0,33.74,2.29,Synthetic,Educational sustainability analytics
TXT-00115,mixed_fabric,Mixed Fabric,poor,none,minor,6.36,RULE-018,Mixed fabric material separation,Material Separation,Specialized Recycling,44,65,65,Low,Manual Review Required,True,12.72,2544.0,31.8,4.13,Synthetic,Educational sustainability analytics
TXT-00116,mixed_fabric,Mixed Fabric,fair,none,moderate,6.75,RULE-018,Mixed fabric material separation,Material Separation,Specialized Recycling,45,65,65,Low,Manual Review Required,True,13.5,2700.0,33.75,4.39,Synthetic,Educational sustainability analytics
TXT-00117,mixed_fabric,Mixed Fabric,poor,none,moderate,11.15,RULE-018,Mixed fabric material separation,Material Separation,Specialized Recycling,38,65,65,Low,Manual Review Required,True,22.3,4460.0,55.75,7.25,Synthetic,Educational sustainability analytics
TXT-00118,silk,Silk,fair,none,none,8.37,RULE-010,Silk reuse and upcycling,Upcycling,Upcycling,78,90,80,Medium,Completed,False,46.03,10881.0,100.44,7.53,Synthetic,Educational sustainability analytics
TXT-00119,wool,Wool,excellent,low,moderate,3.63,RULE-021,General recyclable textile fallback,Fiber Recovery,Recycling,56,90,75,Medium,Manual Review Required,True,10.89,2178.0,25.41,2.9,Synthetic,Educational sustainability analytics
TXT-00120,linen,Linen,fair,low,moderate,42.57,RULE-006,Repairable textile,Repair and Reuse,Repair,60,90,85,Medium,Completed,False,276.7,72369.0,595.98,40.44,Synthetic,Educational sustainability analytics
TXT-00121,mixed_fabric,Mixed Fabric,fair,high,minor,9.78,RULE-002,High contamination handling,Specialized Treatment,Industrial Recovery,0,65,50,Low,Manual Review Required,True,4.89,782.4,9.78,2.93,Synthetic,Educational sustainability analytics
TXT-00122,linen,Linen,poor,none,none,11.28,RULE-021,General recyclable textile fallback,Fiber Recovery,Recycling,58,90,75,Medium,Manual Review Required,True,33.84,6768.0,78.96,9.02,Synthetic,Educational sustainability analytics
TXT-00123,mixed_fabric,Mixed Fabric,poor,low,minor,6.16,RULE-018,Mixed fabric material separation,Material Separation,Specialized Recycling,34,65,65,Low,Manual Review Required,True,12.32,2464.0,30.8,4.0,Synthetic,Educational sustainability analytics
TXT-00124,linen,Linen,fair,low,none,6.59,RULE-021,General recyclable textile fallback,Fiber Recovery,Recycling,56,90,75,Medium,Manual Review Required,True,19.77,3954.0,46.13,5.27,Synthetic,Educational sustainability analytics
TXT-00125,denim,Denim,fair,none,minor,12.94,RULE-011,Denim upcycling,Upcycling,Upcycling,74,90,80,Medium,Completed,False,71.17,16822.0,155.28,11.65,Synthetic,Educational sustainability analytics
